id;name;address;postalCode;isEmtPark;lastUpd;freeParking;geometry;datetime
2;Colón;Plaza de Colón s/n;;False;2020-05-19T12:05:27.357000;;{'type': 'Point', 'coordinates': ['-3.6899392', '40.4247093']};2020-12-13T12:50:38.588182
3;Corazón de María II;C/ Corazón de María (final calle);;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6455254', '40.4385248']};2020-12-13T12:50:38.588182
4;Encuentro;Plaza Encuentro;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6513541', '40.4054645']};2020-12-13T12:50:38.588182
5;Nuestra Señora del Recuerdo;c/ Hiedra, 26;28036 ;True;2020-12-13T12:50:00.173000;622;{'type': 'Point', 'coordinates': ['-3.679160', '40.472181']};2020-12-13T12:50:38.588182
6;Corona Boreal;Plaza Corona Boreal y C/ Marqués Camarines;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.7832', '40.4568']};2020-12-13T12:50:38.588182
7;Avenida de Portugal;Avda. de Portugal, s/n. Frente al nº 51;28011 ;True;2020-12-13T12:50:25.237000;363;{'type': 'Point', 'coordinates': ['-3.727515', '40.415415']};2020-12-13T12:50:38.588182
8;Plaza del Carmen;Plaza del Carmen;;False;2020-05-11T12:20:41.243000;;{'type': 'Point', 'coordinates': ['-3.7034468', '40.4185861']};2020-12-13T12:50:38.588182
9;Paseo de Recoletos;Paseo de Recoletos, 4;28001 ;True;2020-12-13T12:50:05.303000;207;{'type': 'Point', 'coordinates': ['-3.691953', '40.421191']};2020-12-13T12:50:38.588182
10;Condesa de Gavia;Plaza Condesa de Gavia;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.7019123', '40.4490039']};2020-12-13T12:50:38.588182
12;Almagro;c/ Almagro, 11;28010 ;True;2020-12-13T12:49:32.947000;375;{'type': 'Point', 'coordinates': ['-3.692950', '40.430390']};2020-12-13T12:50:38.588182
14;Luna-Tudescos;P. Sta Mª Soledad Torres Acosta c/v c/Luna);;False;2020-12-13T12:49:43.997000;362;{'type': 'Point', 'coordinates': ['-3.7049889', '40.4215407']};2020-12-13T12:50:38.588182
15;Jacinto Benavente;Plaza Jacinto Benavente, s/n;28012 ;True;2020-12-13T12:49:16.533000;71;{'type': 'Point', 'coordinates': ['-3.703448', '40.414267']};2020-12-13T12:50:38.588182
16;América;Avda. América (intercambiador);;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.67669', '40.4380932']};2020-12-13T12:50:38.588182
17;Arquitecto Ribera (Barceló);C/ Barceló, 2;;False;2020-12-13T12:49:45.037000;178;{'type': 'Point', 'coordinates': ['-3.700464', '40.426411']};2020-12-13T12:50:38.588182
18;Brasil;Avda. Brasil (entre General Yagüe y Pedro Texeira);;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.69374', '40.45615']};2020-12-13T12:50:38.588182
19;Casino de la Reina;C/ Casino;;False;2020-12-13T12:49:45.517000;2;{'type': 'Point', 'coordinates': ['-3.70545010', '40.4066596']};2020-12-13T12:50:38.588182
20;Descalzas;Plaza Descalzas y Plaza San Martín;;False;2020-12-13T12:49:46.220000;270;{'type': 'Point', 'coordinates': ['-3.707072', '40.418441']};2020-12-13T12:50:38.588182
21;Palacio Municipal de Congresos;Avda. Capital de España, s/n;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6160214', '40.46190431']};2020-12-13T12:50:38.588182
22;Orense;Avda. General Perón, 27;28020 ;True;2020-12-13T12:50:14.837000;118;{'type': 'Point', 'coordinates': ['-3.694009', '40.453019']};2020-12-13T12:50:38.588182
23;Daoíz y Velarde;Avda. Ciudad de Barcelona ( C/ Alberche y C/ Téllez);;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6784287', '40.4030883']};2020-12-13T12:50:38.588182
25;Marqués de Salamanca;Plaza Marques de Salamanca, s/n;28006 ;True;2020-12-13T12:49:55.020000;267;{'type': 'Point', 'coordinates': ['-3.679197', '40.430293']};2020-12-13T12:50:38.588182
26;Felipe II;Avda. Felipe II y C/ Goya);;False;2019-01-27T09:58:12.837000;;{'type': 'Point', 'coordinates': ['-3.67567', '40.424015']};2020-12-13T12:50:38.588182
27;Fuencarral;C/ Fuencarral, 111 (entre 111 Y 121);;True;2020-12-13T12:49:44.233000;202;{'type': 'Point', 'coordinates': ['-3.702573', '40.4294714']};2020-12-13T12:50:38.588182
28;General Yagüe;Avda. Brasil, 15 Nº15 al 19;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6939585', '40.4543339']};2020-12-13T12:50:38.588182
