fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;3409;200;2;8;0;N;436004,103195086;4472588,47356732
13/12/2020 12:40:07;4739;184;2;8;0;N;436039,395885266;4472397,54735486
13/12/2020 12:40:07;4740;360;5;16;0;N;436726,755473865;4472480,04932619
13/12/2020 12:40:07;4741;90;0;3;0;N;436896,653898518;4472514,21870137
13/12/2020 12:40:07;4742;90;0;3;0;N;436809,990969673;4472410,09421372
13/12/2020 12:40:07;4743;180;0;6;0;N;436817,148294475;4472417,20280615
13/12/2020 12:40:07;4744;180;1;6;0;N;436849,572089225;4472215,10451113
13/12/2020 12:40:07;4746;270;2;10;0;N;436869,228492762;4472052,56654993
13/12/2020 12:40:07;4747;135;3;14;0;N;436975,708839387;4471941,57973658
13/12/2020 12:40:07;4748;405;8;33;1;N;436785,094310191;4471871,34299176
13/12/2020 12:40:07;4749;405;4;23;0;N;436948,624418082;4471825,08634181
13/12/2020 12:40:07;4750;675;4;26;1;N;437072,020860823;4471688,02584565
13/12/2020 12:40:07;4751;90;1;7;0;N;437207,877265405;4471728,31227492
13/12/2020 12:40:07;3566;180;1;13;0;N;437217,295405096;4471732,15516418
13/12/2020 12:40:07;3567;495;1;12;0;N;437164,828862734;4471604,07802877
13/12/2020 12:40:07;3568;360;4;33;1;N;437070,490858331;4471587,82291284
13/12/2020 12:40:07;4752;225;1;20;0;N;437059,903896904;4471582,6982263
13/12/2020 12:40:07;4754;180;1;16;0;N;437345,974904364;4471906,86325488
13/12/2020 12:40:07;4758;765;19;60;2;N;436944,056157125;4471440,73261486
13/12/2020 12:40:07;4759;0;0;0;0;N;436800,742224295;4472594,58208627
13/12/2020 12:40:07;4760;160;1;12;0;N;436758,069107957;4472874,70538535
13/12/2020 12:40:07;4761;200;6;19;0;N;436765,108993995;4473038,76126792
13/12/2020 12:40:07;4762;160;1;13;0;N;436662,046626833;4472903,58626363
13/12/2020 12:40:07;4763;0;0;0;0;N;436448,726607281;4472837,3542256
13/12/2020 12:40:07;4764;280;36;54;2;N;436629,255765667;4472952,27943257
13/12/2020 12:40:07;4766;400;7;32;1;N;436245,937895162;4472915,91584757
13/12/2020 12:40:07;4767;240;1;17;0;N;436361,827325916;4472885,50436494
13/12/2020 12:40:07;4768;0;0;0;0;N;436367,779266637;4472884,06545138
13/12/2020 12:40:07;4769;80;0;5;0;N;436248,181818507;4472821,68015373
13/12/2020 12:40:07;4771;150;4;12;0;N;436059,229328309;4473083,18800668
13/12/2020 12:40:07;10226;180;1;13;0;N;436124,216157656;4472975,16179352
13/12/2020 12:40:07;10225;240;3;20;0;N;436117,789191019;4472976,06171115
13/12/2020 12:40:07;10228;210;4;18;0;N;436028,370557686;4472976,97723292
13/12/2020 12:40:07;4755;45;0;3;0;N;436561,174898876;4471932,70385405
13/12/2020 12:40:07;4745;180;11;22;0;N;436805,77031705;4472312,22610969
13/12/2020 12:40:07;4753;45;3;6;0;N;437321,537000796;4471807,89270294
13/12/2020 12:40:07;4756;45;36;38;1;N;437425,183061149;4471994,03407711
13/12/2020 12:40:07;10236;120;33;38;1;N;436066,625396645;4473064,21656181
13/12/2020 12:40:07;10237;180;4;16;0;N;436087,4253823;4473035,71338921
13/12/2020 12:40:07;4770;240;38;36;1;N;436105,131919826;4472993,10278712
13/12/2020 12:40:07;10227;240;40;50;1;N;436076,241305651;4473003,57407153
13/12/2020 12:40:07;4772;360;31;40;1;N;436092,756108665;4473056,44753655
13/12/2020 12:40:07;4757;0;0;0;0;N;437007,927332104;4471492,13654845
13/12/2020 12:40:07;4765;40;0;3;0;N;436551,923092691;4472929,51501338
13/12/2020 12:40:07;4778;273;4;12;0;N;440707,29075695;4470825,87214468
13/12/2020 12:40:07;4802;76;0;3;0;N;440832,564396191;4470282,68587916
13/12/2020 12:40:07;4803;493;2;18;0;N;440758,408071588;4470519,77118215
13/12/2020 12:40:07;4794;152;12;18;0;N;440765,130941772;4470421,65750666
13/12/2020 12:40:07;4808;831;2;17;0;N;441130,801935723;4467917,56541325
13/12/2020 12:40:07;4809;997;3;30;1;N;441131,453895976;4467701,59796182
13/12/2020 12:40:07;4810;1052;17;33;1;N;441147,248918979;4466861,44090788
13/12/2020 12:40:07;4811;0;0;0;0;N;440920,919982986;4466939,48684567
13/12/2020 12:40:07;4812;42;1;4;0;N;440777,956223248;4466856,47284932
13/12/2020 12:40:07;4813;169;1;7;0;N;440660,172972124;4466878,32662802
13/12/2020 12:40:07;4818;138;2;11;0;N;440540,811192423;4466723,52876067
